Potential Energy , -545.49 , Kinetic Energy , 276.597 , Total Energy , -268.894
Potential Energy , -545.905 , Kinetic Energy , 277.056 , Total Energy , -268.85
Potential Energy , -546.321 , Kinetic Energy , 277.515 , Total Energy , -268.806
Potential Energy , -546.737 , Kinetic Energy , 277.975 , Total Energy , -268.761
Potential Energy , -547.152 , Kinetic Energy , 278.435 , Total Energy , -268.717
Potential Energy , -547.568 , Kinetic Energy , 278.896 , Total Energy , -268.672
Potential Energy , -547.984 , Kinetic Energy , 279.357 , Total Energy , -268.628
Potential Energy , -548.4 , Kinetic Energy , 279.817 , Total Energy , -268.583
Potential Energy , -548.816 , Kinetic Energy , 280.278 , Total Energy , -268.537
Potential Energy , -549.231 , Kinetic Energy , 280.739 , Total Energy , -268.492
Potential Energy , -549.647 , Kinetic Energy , 281.201 , Total Energy , -268.447
Potential Energy , -550.062 , Kinetic Energy , 281.662 , Total Energy , -268.401
Potential Energy , -550.478 , Kinetic Energy , 282.123 , Total Energy , -268.355
Potential Energy , -550.893 , Kinetic Energy , 282.584 , Total Energy , -268.309
Potential Energy , -551.307 , Kinetic Energy , 283.044 , Total Energy , -268.263
Potential Energy , -551.721 , Kinetic Energy , 283.505 , Total Energy , -268.216
Potential Energy , -552.135 , Kinetic Energy , 283.966 , Total Energy , -268.169
Potential Energy , -552.548 , Kinetic Energy , 284.426 , Total Energy , -268.123
Potential Energy , -552.961 , Kinetic Energy , 284.885 , Total Energy , -268.076
Potential Energy , -553.373 , Kinetic Energy , 285.345 , Total Energy , -268.028
Potential Energy , -553.785 , Kinetic Energy , 285.804 , Total Energy , -267.981
Potential Energy , -554.196 , Kinetic Energy , 286.262 , Total Energy , -267.933
Potential Energy , -554.606 , Kinetic Energy , 286.72 , Total Energy , -267.886
Potential Energy , -555.015 , Kinetic Energy , 287.177 , Total Energy , -267.838
Potential Energy , -555.424 , Kinetic Energy , 287.634 , Total Energy , -267.79
Potential Energy , -555.832 , Kinetic Energy , 288.09 , Total Energy , -267.741
Potential Energy , -556.238 , Kinetic Energy , 288.546 , Total Energy , -267.693
Potential Energy , -556.644 , Kinetic Energy , 289 , Total Energy , -267.644
Potential Energy , -557.049 , Kinetic Energy , 289.454 , Total Energy , -267.595
Potential Energy , -557.453 , Kinetic Energy , 289.907 , Total Energy , -267.546
Potential Energy , -557.855 , Kinetic Energy , 290.358 , Total Energy , -267.497
Potential Energy , -558.256 , Kinetic Energy , 290.809 , Total Energy , -267.447
Potential Energy , -558.657 , Kinetic Energy , 291.259 , Total Energy , -267.397
