Potential Energy , -281.857 , Kinetic Energy , 140.641 , Total Energy , -141.217, Delta Energy , 2.40564e-09, Time , 70.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.82 , Kinetic Energy , 140.603 , Total Energy , -141.217, Delta Energy , 2.40348e-09, Time , 71, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.781 , Kinetic Energy , 140.564 , Total Energy , -141.217, Delta Energy , 2.40266e-09, Time , 71.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.742 , Kinetic Energy , 140.526 , Total Energy , -141.217, Delta Energy , 2.40317e-09, Time , 72, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.703 , Kinetic Energy , 140.486 , Total Energy , -141.217, Delta Energy , 2.40487e-09, Time , 72.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.663 , Kinetic Energy , 140.446 , Total Energy , -141.217, Delta Energy , 2.40766e-09, Time , 73, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.622 , Kinetic Energy , 140.406 , Total Energy , -141.217, Delta Energy , 2.4117e-09, Time , 73.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.581 , Kinetic Energy , 140.364 , Total Energy , -141.217, Delta Energy , 2.41698e-09, Time , 74, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.54 , Kinetic Energy , 140.323 , Total Energy , -141.217, Delta Energy , 2.42352e-09, Time , 74.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.498 , Kinetic Energy , 140.281 , Total Energy , -141.217, Delta Energy , 2.43111e-09, Time , 75, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.455 , Kinetic Energy , 140.238 , Total Energy , -141.217, Delta Energy , 2.43938e-09, Time , 75.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.412 , Kinetic Energy , 140.195 , Total Energy , -141.217, Delta Energy , 2.44876e-09, Time , 76, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.368 , Kinetic Energy , 140.152 , Total Energy , -141.217, Delta Energy , 2.4589e-09, Time , 76.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.325 , Kinetic Energy , 140.108 , Total Energy , -141.217, Delta Energy , 2.46976e-09, Time , 77, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.28 , Kinetic Energy , 140.064 , Total Energy , -141.217, Delta Energy , 2.48133e-09, Time , 77.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.235 , Kinetic Energy , 140.019 , Total Energy , -141.217, Delta Energy , 2.49324e-09, Time , 78, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.19 , Kinetic Energy , 139.974 , Total Energy , -141.217, Delta Energy , 2.50571e-09, Time , 78.5, Angular Momentum , 0.000000,0.000000,-95068.800000
Potential Energy , -281.145 , Kinetic Energy , 139.928 , Total Energy , -141.217, Delta Energy , 2.5185e-09, Time , 79, Angular Momentum , 0.000000,0.000000,-95068.800000
